6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	7.94093388051e-23	-2.3127969927e-21	-6.89455040563e-22	0.999937780351	1.65436122511e-23	9.26442286059e-23	7.41153828848e-22	0.999942801107	40.6589785155	0.544048818918	0.618985326198	0.54390618715	6.16107283356e-07	-0.271789882911	0.618826155711	-0.271791247608	8.80484065573e-07	40.6638343866	0.543971145459	0.618900061632	0.543971145455	6.16019322162e-07	-0.271752444146	0.618900061651	-0.271752444167	8.80362779835e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847226e-05	0.0	0.0	0.0	-5.72005289191e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	1.5881867761e-21	-3.97212130148e-21	8.43724224804e-22	0.999875542643	-4.16899028727e-22	-1.34995875969e-21	-7.41153828848e-22	0.999885585156	81.343756799	1.08843938608	1.23831774424	1.08786877429	5.80309331933e-08	-0.543644457696	1.23768098992	-0.543649917933	7.83286509438e-08	81.3631910449	1.08812868248	1.2379766905	1.08812868249	5.80143678061e-08	-0.543494728779	1.23797669051	-0.54349472878	7.83070779029e-08	0.000399920021327	0.0	0.0	0.0	-0.000124465102459	0.0	0.0	0.0	-0.000114421389877	81.4187007783	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-1.01908651467e-21	-2.10765620079e-21	2.58080351117e-22	0.999813286879	1.28378431068e-21	4.6322114303e-22	-4.23516473627e-22	0.999828352155	122.05434178	1.63317185939	1.85799725547	1.6318877921	8.0829678898e-08	-0.815563638752	1.85656439561	-0.815575927739	9.87973154849e-08	122.098093057	1.63247275429	1.85722989478	1.63247275429	8.0795078473e-08	-0.815226807537	1.85722989479	-0.815226807538	9.87565117778e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	2.32934060495e-21	3.00762870724e-21	-4.13590306277e-23	0.999750956593	3.1631386624e-21	7.94093388051e-22	-2.11758236814e-22	0.999771007428	162.71396592	2.18375487426	2.47525938152	2.18146585743	5.32799831341e-05	-1.07910748988	2.47271439762	-1.07912913568	1.86138804316e-05	162.791776963	2.18250904521	2.47389686462	2.18250905081	5.32495869794e-05	-1.07851349064	2.47389686825	-1.07851349404	1.86036343431e-05	0.000799680170564	0.0	0.0	0.0	-0.000249074423459	0.0	0.0	0.0	-0.000229018794802	162.902704269	0.000692581321029
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	-4.42045319348e-21	1.5352472169e-21	-7.841672207e-22	0.999681651468	3.0704944338e-21	-3.38813178902e-21	3.33519222981e-21	0.999709221346	197.610531391	2.77758017683	2.84793539506	2.77392203007	0.00104931419031	-1.36218229294	2.84426307841	-1.36221988669	0.00127148572173	197.730956388	2.77561246031	2.84599632351	2.77561247415	0.0010485708264	-1.36125482494	2.84599638873	-1.36125485152	0.00127062000624	0.000999500333083	0.0	0.0	0.0	-0.00031839921565	0.0	0.0	0.0	-0.00029082093831	197.863697386	0.000869552728622
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	-2.11758236814e-21	-7.46447784768e-21	-4.77779521811e-21	0.999586882909	6.11451908799e-21	-3.52048068703e-21	-1.27054942088e-21	0.999636792329	214.147679347	3.13935937607	2.71804229476	3.13430131817	-0.000146296005517	-1.94242798099	2.71379837305	-1.94252510557	0.000116159291326	214.314024474	3.13673594664	2.71590654071	3.13673597332	-0.000146173752152	-1.94090168081	2.71590639092	-1.94090181976	0.000116068016927	0.00119928057548	0.0	0.0	0.0	-0.000413202447374	0.0	0.0	0.0	-0.000363273646881	214.460846353	0.00105873825135
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	0.0	4.18222517707e-21	-2.80662381839e-21	0.999480090224	8.41738991334e-21	-2.67675646222e-21	-2.75285707858e-21	0.999556794025	220.672344698	3.32701433982	2.70291071018	3.32063570616	-0.000163441069822	-2.39165311828	2.69793567286	-2.39183660518	4.16282682417e-05	220.885031653	3.32383617563	2.70053596053	3.32383617924	-0.000163284941082	-2.38955183636	2.70053597932	-2.389551779	4.15916940718e-05	0.00139902091371	0.0	0.0	0.0	-0.000520044975951	0.0	0.0	0.0	-0.000443304219798	221.048357394	0.00125457960467
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	1.2229038176e-20	-2.59403840097e-21	-9.58867766071e-21	0.999370831258	2.69991751937e-21	-1.54864754282e-20	-8.68208770936e-21	0.999473924569	224.442311823	3.43010113508	2.69902384323	3.42246707422	-2.21682844801e-05	-2.79512141677	2.69329473368	-2.79540973682	-6.01673336716e-05	224.70182292	3.42642429793	2.69640879968	3.42642429681	-2.21445215738e-05	-2.79241326573	2.69640885181	-2.79241324606	-6.01090384482e-05	0.0015987213637	0.0	0.0	0.0	-0.000629366751711	0.0	0.0	0.0	-0.00052621385723	224.880753809	0.00145222946326
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	2.40874994375e-21	1.55642304058e-20	-2.10434747833e-21	0.999261286624	-5.29395592034e-22	-7.04096137405e-21	6.35274710441e-21	0.999389576854	227.281080153	3.47612328673	2.68468763145	3.46731422507	2.01860496833e-05	-3.1785122898	2.6782280347	-3.17892040256	-6.13954125926e-05	227.588024844	3.47199689448	2.68184499124	3.47199685721	2.0162087484e-05	-3.17514677094	2.68184500042	-3.17514681014	-6.13304050042e-05	0.00179838194138	0.0	0.0	0.0	-0.000738986359171	0.0	0.0	0.0	-0.000610609530061	227.781264062	0.00165045168312
