"True stress, MPa","True strain, -",Simulated strain
1.6e-12,0.0,-6.815842336374453e-18
40.69159194,0.000173152,-6.80336863234654e-18
81.41870083,0.000346291,-1.63673663459853e-07
122.1813442,0.000519417,-4.911007417651014e-07
162.9655592,0.00069254,-7.919113524526507e-07
200.5313517,0.000867788,1.3922346547694695e-05
221.6701253,0.001053941,9.080776334151708e-05
229.7591218,0.001248787,0.00023341449972526235
233.8389216,0.001446274,0.00040827895586542965
236.5775815,0.0016446,0.0005939439885563711
238.7373358,0.00184329,0.0007840625939518018
240.5248375,0.002042211,0.0009764901902440574
242.0205195,0.002241282,0.0011704868760373007
243.3044944,0.002440446,0.0013656109387204568
244.4475946,0.002639651,0.0015615906541611361
245.4792586,0.002838873,0.0017581884581834078
246.4193852,0.003038101,0.004298978201313169
247.2932299,0.00323732,0.0068440863116441
248.1176817,0.003436525,0.009384974428233156
248.9026238,0.003635711,0.011920068704820054
249.6541048,0.003834875,0.014448998859111866
251.4240978,0.004332665,0.016971710730112347
253.0827929,0.004830271,0.019488227116489804
254.6550191,0.005327697,0.02199858184384556
256.1583064,0.005824943,0.02450279539249258
257.6148834,0.006321996,0.027000878663804653
259.0375703,0.006818847,0.029492844549194264
260.4331958,0.007315488,0.031978709587448986
261.8057941,0.007811912,0.034458489757636004
263.1577824,0.008308118,0.03693220244751911
264.492093,0.0088041,0.03939986813656875
265.8112919,0.009299857,0.04186150977585179
267.116701,0.009795387,0.04431715176408817
268.4091668,0.010290689,0.04676681402646926
269.689517,0.010785763,0.04921050745974381
270.9585062,0.011280608,0.051648233834223914
272.2167459,0.011775225,0.054079995492582245
273.4648012,0.012269612,0.05650580626765351
274.7031511,0.012763768,0.05892568895129738
275.9321687,0.013257689,0.061339677006795705
277.1521614,0.013751376,0.06374781058990174
278.3633847,0.014244828,0.06615013321267742
279.5660447,0.014738044,0.06854668471095365
280.7603055,0.015231025,0.07093750164215312
281.9463035,0.015723771,0.07332262075159404
283.1241534,0.016216282,0.07570207454236762
284.2939489,0.016708557,
285.4557794,0.017200597,
286.609751,0.017692402,
287.7560012,0.018183972,
288.8946836,0.018675306,
290.0259509,0.019166406,
291.1499482,0.019657271,
292.2668102,0.020147902,
293.3766607,0.020638298,
294.4796188,0.02112846,
295.5757954,0.021618387,
296.6652938,0.022108081,
297.7482101,0.022597542,
298.8246325,0.023086768,
299.8946427,0.023575761,
300.9583182,0.02406452,
302.015735,0.024553045,
303.0669676,0.025041338,
304.1120855,0.025529397,
305.1511544,0.026017222,
306.1842338,0.026504815,
307.2113765,0.026992174,
308.2326295,0.027479299,
309.2480385,0.027966192,
310.2576484,0.02845285,
311.2615063,0.028939276,
312.2596602,0.029425468,
313.2521576,0.029911426,
314.2390455,0.030397151,
315.2203691,0.030882643,
316.1961739,0.031367901,
317.1665068,0.031852926,
318.1314162,0.032337718,
319.0909531,0.032822277,
320.0451689,0.033306602,
320.994112,0.033790695,
321.9378307,0.034274556,
322.8763692,0.034758183,
323.8097696,0.035241578,
324.7380707,0.03572474,
325.6613119,0.03620767,
326.5795317,0.036690367,
327.4927731,0.037172832,
328.4010782,0.037655065,
329.3044906,0.038137066,
330.2030526,0.038618835,
331.0968035,0.039100373,
331.9857802,0.039581681,
332.8700153,0.040062757,
333.7495368,0.040543602,
334.6243687,0.041024217,
335.4945318,0.041504601,
336.360045,0.041984755,
337.2209311,0.042464678,
338.0772178,0.04294437,
338.9289378,0.043423831,
339.7761263,0.043903062,
340.6188207,0.044382061,
341.4570593,0.044860831,
342.2908805,0.04533937,
343.1203264,0.04581768,
343.945438,0.04629576,
344.7662564,0.046773612,
345.5828248,0.047251235,
346.3951838,0.04772863,
347.2033776,0.048205798,
348.007448,0.048682738,
348.8074403,0.049159452,
349.6033978,0.049635939,
350.3953639,0.050112201,
351.1833797,0.050588237,
351.9674846,0.051064048,
352.7477136,0.051539635,
353.5241066,0.052014997,
354.2966961,0.052490136,
355.0655159,0.052965051,
355.8306025,0.053439742,
356.5919941,0.053914211,
357.3497247,0.054388457,
358.1038387,0.054862481,
358.8543771,0.055336282,
359.6013808,0.055809861,
360.3448893,0.056283218,
361.0849428,0.056756353,
361.8215772,0.057229266,
362.5548302,0.057701957,
363.2847363,0.058174427,
364.0113287,0.058646676,
364.7346401,0.059118703,
365.4547017,0.05959051,
366.1715442,0.060062095,
366.8851963,0.06053346,
367.5956849,0.061004605,
368.303034,0.061475529,
369.0072699,0.061946233,
369.7084132,0.062416716,
370.4064864,0.06288698,
371.101508,0.063357023,
371.7934961,0.063826847,
372.4824667,0.064296451,
373.168434,0.064765835,
373.851409,0.065235,
374.5314012,0.065703946,
375.2084169,0.066172672,
375.8824651,0.066641179,
376.5535536,0.067109467,
377.221693,0.067577537,
377.8868963,0.068045387,
378.549176,0.06851302,
379.2085473,0.068980434,
379.8650238,0.06944763,
380.518619,0.069914609,
381.1693462,0.07038137,
381.8172179,0.070847914,
382.4622453,0.071314241,
383.1044385,0.071780352,
383.7438051,0.072246247,
384.3803528,0.072711926,
385.0140883,0.073177389,
385.645019,0.073642637,
386.2731532,0.07410767,
386.898501,0.074572488,
387.5210727,0.075037092,
388.1408798,0.075501481,
388.7579349,0.075965657,
389.3722545,0.076429618,
389.9838528,0.076893365,
