6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	7.94093388051e-23	-2.3127969927e-21	-6.89455040563e-22	0.999937780351	1.65436122511e-23	9.26442286059e-23	7.41153828848e-22	0.999942801107	40.6589785155	0.544048818918	0.618985326198	0.54390618715	6.16107283356e-07	-0.271789882911	0.618826155711	-0.271791247608	8.80484065573e-07	40.6638343866	0.543971145459	0.618900061632	0.543971145455	6.16019322162e-07	-0.271752444146	0.618900061651	-0.271752444167	8.80362779835e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847226e-05	0.0	0.0	0.0	-5.72005289191e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	1.5881867761e-21	-3.97212130148e-21	8.43724224804e-22	0.999875542643	-4.16899028727e-22	-1.34995875969e-21	-7.41153828848e-22	0.999885585156	81.343756799	1.08843938608	1.23831774424	1.08786877429	5.80309331933e-08	-0.543644457696	1.23768098992	-0.543649917933	7.83286509438e-08	81.3631910449	1.08812868248	1.2379766905	1.08812868249	5.80143678061e-08	-0.543494728779	1.23797669051	-0.54349472878	7.83070779029e-08	0.000399920021327	0.0	0.0	0.0	-0.000124465102459	0.0	0.0	0.0	-0.000114421389877	81.4187007783	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-7.94093388051e-22	-3.21938694406e-21	-2.77105505205e-22	0.999813286879	5.74394217357e-21	1.31025409028e-21	1.16467030247e-21	0.999828352155	122.05434178	1.63317185939	1.85799725547	1.6318877921	8.0815606502e-08	-0.815563638753	1.85656439561	-0.81557592774	9.87856192194e-08	122.098093057	1.63247275429	1.85722989478	1.63247275429	8.07810121009e-08	-0.815226807538	1.85722989479	-0.815226807539	9.8744820343e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	3.44107134822e-21	3.56680280133e-21	-2.59072967852e-21	0.999751013054	5.94246552058e-21	-1.82641479252e-21	-1.6146565557e-21	0.9997711021	162.790736204	2.17824646546	2.47802383378	2.17596333986	7.34140984029e-08	-1.08754713002	2.47547623834	-1.08756898324	9.20738070891e-08	162.868559338	2.1770035728	2.4766596553	2.1770035728	7.33722088161e-08	-1.08694842376	2.47665965531	-1.08694842375	9.2023119479e-08	0.000799680170564	0.0	0.0	0.0	-0.000249017948396	0.0	0.0	0.0	-0.000228924101123	162.979543279	0.000692531307779
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	-3.0704944338e-21	6.56450534122e-21	-6.09632111452e-22	0.999688441072	-7.04096137405e-21	-1.21760986168e-21	-5.29395592034e-22	0.999713412337	203.195547562	2.743220995	3.09452140919	2.73962669468	7.90176476831e-05	-1.3370461281	3.09054402316	-1.33707952613	0.000133029665153	203.317142864	2.74126612754	3.092393442	2.74126612891	7.89613383195e-05	-1.33612669988	3.09239345164	-1.33612669978	0.000132938186463	0.000999500333083	0.0	0.0	0.0	-0.000311607472566	0.0	0.0	0.0	-0.000286628737092	203.456151332	0.000865865732523
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	-4.87043944671e-21	1.29701920048e-21	-7.8747594315e-22	0.999616975001	-4.76456032831e-22	-4.02340649946e-21	-1.21760986168e-21	0.999650511104	236.457986603	3.33448607038	3.38603068649	3.32921382864	0.000850403491577	-1.64210849916	3.38079041822	-1.64216364595	0.00102149134122	236.631290635	3.33165385903	3.383268196	3.3316538654	0.00084968118464	-1.64076878623	3.38326825633	-1.64076884195	0.00102065795831	0.00119928057548	0.0	0.0	0.0	-0.000383098371811	0.0	0.0	0.0	-0.000349549981477	236.790288565	0.00104391620795
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	1.04820327223e-20	-1.21760986168e-21	1.74700545371e-21	0.999522439736	-7.57035696609e-21	-8.86737616657e-22	1.07996700775e-20	0.999578249286	253.199216224	3.69971287571	3.2332283557	3.69277616456	0.000116417080025	-2.24059294992	3.22734629037	-2.24071820401	0.000222872021222	253.427074932	3.69609935152	3.2302508037	3.69609936286	0.000116303375003	-2.23852953797	3.23025063962	-2.23852968569	0.000222666773414	0.00139902091371	0.0	0.0	0.0	-0.00047767433222	0.0	0.0	0.0	-0.000421839675846	253.59912551	0.00123294010322
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	-1.95876369053e-21	2.22346148654e-21	5.04911045902e-21	0.99941601176	4.57927187109e-21	3.00431998479e-21	-8.78796682776e-21	0.99949900417	260.27726381	3.90742085962	3.21314523762	3.89890071854	-5.71082164281e-05	-2.72632751291	3.20640525374	-2.7265538112	8.14231478699e-05	260.559890907	3.90313442733	3.20988695398	3.90313441524	-5.70455688374e-05	-2.72356288583	3.20988699086	-2.72356278753	8.13405808863e-05	0.0015987213637	0.0	0.0	0.0	-0.000584158827549	0.0	0.0	0.0	-0.000501121370343	260.749529819	0.00142837908572
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	-7.04096137405e-21	-1.16467030247e-20	-8.85083255432e-21	0.999306619972	-2.08581863261e-20	4.64213759765e-21	-1.01643953671e-20	0.999416566114	264.176173962	4.03858523175	3.20582200361	4.02853360537	-0.000116603574374	-3.11922289706	3.1981949128	-3.11956609889	-4.20557856771e-05	264.513801858	4.03368222673	3.20228229079	4.03368223518	-0.000116462012942	-3.11577880276	3.20228233599	-3.11577882009	-4.20093497229e-05	0.00179838194138	0.0	0.0	0.0	-0.00069362052711	0.0	0.0	0.0	-0.000583604149778	264.719272319	0.00162590403193
