EXP True plastic strain,"EXP True stress, Mpa",1 True plastic strain,"1 True stress, Mpa","2 True plastic strain,-","2 True stress, Mpa","3 True plastic strain,-","3 True stress, Mpa","4 True plastic strain,-","4 True stress, Mpa","5 True plastic strain,-","5 True stress, Mpa","6 True plastic strain,-","6 True stress, Mpa","7 True plastic strain,-","7 True stress, Mpa"
0,47.42737961,0,773.2810378,0,122.40094,0,187.4889498,0,317.6649693,0,447.8409889,0,578.0170084,0,708.193028
8.55E-06,49.4430809,0.0002,777.188735,0.0002,684.6067487,0.0002,693.8649473,0.0002,712.3813446,0.0002,730.8977418,0.0002,749.4141391,0.0002,767.9305363
1.27E-05,52.64004898,0.0004,781.0390672,0.0004,721.2756244,0.0004,727.2519687,0.0004,739.2046572,0.0004,751.1573458,0.0004,763.1100343,0.0004,775.0627229
2.30E-05,54.55457687,0.0006,784.8328766,0.0006,743.6294008,0.0006,747.7497484,0.0006,755.9904436,0.0006,764.2311387,0.0006,772.4718338,0.0006,780.712529
1.75E-05,58.37722015,0.0008,788.5709929,0.0008,759.9085568,0.0008,762.7748004,0.0008,768.5072876,0.0008,774.2397748,0.0008,779.972262,0.0008,785.7047492
1.52E-06,61.26219559,0.001,792.2542336,0.001,772.7806713,0.001,774.7280275,0.001,778.62274,0.001,782.5174525,0.001,786.4121649,0.001,790.3068774
1.42E-05,62.70450211,0.0012,795.8834045,0.0012,783.4596452,0.0012,784.7020211,0.0012,787.186773,0.0012,789.6715248,0.0012,792.1562767,0.0012,794.6410285
9.87E-06,64.66579437,0.0014,799.4592991,0.0014,792.6036381,0.0014,793.2892042,0.0014,794.6603364,0.0014,796.0314686,0.0014,797.4026008,0.0014,798.773733
1.05E-05,66.07859802,0.0016,802.9826997,0.0016,800.6107445,0.0016,800.84794,0.0016,801.3223311,0.0016,801.7967221,0.0016,802.2711131,0.0016,802.7455042
0,66.47290802,0.0018,806.4543767,0.0018,807.740629,0.0018,807.6120038,0.0018,807.3547533,0.0018,807.0975029,0.0018,806.8402524,0.0018,806.583002
6.41E-06,66.78953552,0.002,809.8750896,0.002,814.1723146,0.002,813.7425921,0.002,812.8831471,0.002,812.0237021,0.002,811.1642571,0.002,810.3048121
0,66.99655151,0.0022,813.2455865,0.0022,820.0345888,0.0022,819.3556886,0.0022,817.9978881,0.0022,816.6400876,0.0022,815.2822872,0.0022,813.9244867
3.75E-06,67.27074432,0.0024,816.5666045,0.0024,825.4232753,0.0024,824.5376082,0.0024,822.766274,0.0024,820.9949399,0.0024,819.2236057,0.0024,817.4522715
4.83E-06,67.79202271,0.0026,819.8388699,0.0026,830.411651,0.0026,829.3543729,0.0026,827.2398167,0.0026,825.1252605,0.0026,823.0107042,0.0026,820.896148
1.92E-05,68.23671722,0.0028,823.0630986,0.0028,835.0570383,0.0028,833.8576444,0.0028,831.4588564,0.0028,829.0600685,0.0028,826.6612805,0.0028,824.2624926
6.84E-06,68.72041321,0.003,826.2399956,0.003,839.4051456,0.003,838.0886306,0.003,835.4556006,0.003,832.8225706,0.003,830.1895406,0.003,827.5565106
0,69.23256683,0.0032,829.3702558,0.0032,843.493021,0.0032,842.0807445,0.0032,839.2561914,0.0032,836.4316384,0.0032,833.6070854,0.0032,830.7825323
