6	header
postResults v2.0.2	--cr texture,f,p --time 512grains512_tensionX.spectralOut
addCauchy v2.0.2	512grains512_tensionX.txt
addStrainTensors v2.0.2	--left --logarithmic 512grains512_tensionX.txt
addMises v2.0.2	-s Cauchy 512grains512_tensionX.txt
addMises v2.0.2	-e ln(V) 512grains512_tensionX.txt
inc	time	elem	node	ip	grain	1_pos	2_pos	3_pos	texture	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(Cauchy)	Mises(ln(V))
0	0.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	6.13798216321e-12	-5.13004670219e-13	9.78207603579e-14	-5.13004670219e-13	6.92654119504e-12	4.30065306802e-13	9.78207603579e-14	4.30065306802e-13	7.3844186606e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6017606294e-12	0.0
6	2.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0002	7.94093388051e-23	-2.3127969927e-21	-6.89455040563e-22	0.999937780351	1.65436122511e-23	9.26442286059e-23	7.41153828848e-22	0.999942801107	40.6589785155	0.544048818918	0.618985326198	0.54390618715	6.16107283356e-07	-0.271789882911	0.618826155711	-0.271791247608	8.80484065573e-07	40.6638343866	0.543971145459	0.618900061632	0.543971145455	6.16019322162e-07	-0.271752444146	0.618900061651	-0.271752444167	8.80362779835e-07	0.000199980002666	0.0	0.0	0.0	-6.22215847226e-05	0.0	0.0	0.0	-5.72005289191e-05	40.6915929895	0.000173151641476
12	4.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0004	1.5881867761e-21	-3.97212130148e-21	8.43724224804e-22	0.999875542643	-4.16899028727e-22	-1.34995875969e-21	-7.41153828848e-22	0.999885585156	81.343756799	1.08843938608	1.23831774424	1.08786877429	5.80309331933e-08	-0.543644457696	1.23768098992	-0.543649917933	7.83286509438e-08	81.3631910449	1.08812868248	1.2379766905	1.08812868249	5.80143678061e-08	-0.543494728779	1.23797669051	-0.54349472878	7.83070779029e-08	0.000399920021327	0.0	0.0	0.0	-0.000124465102459	0.0	0.0	0.0	-0.000114421389877	81.4187007783	0.000346290732539
18	6.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0006	-1.01908651467e-21	-2.10765620079e-21	2.58080351117e-22	0.999813286879	1.28378431068e-21	4.6322114303e-22	-4.23516473627e-22	0.999828352155	122.05434178	1.63317185939	1.85799725547	1.6318877921	8.0829678898e-08	-0.815563638752	1.85656439561	-0.815575927739	9.87973154849e-08	122.098093057	1.63247275429	1.85722989478	1.63247275429	8.0795078473e-08	-0.815226807537	1.85722989479	-0.815226807538	9.87565117778e-08	0.000599820071968	0.0	0.0	0.0	-0.000186730554065	0.0	0.0	0.0	-0.000171662578177	122.181344325	0.000519417282621
24	8.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0008	1.27054942088e-21	4.47339275269e-21	-2.88355161536e-21	0.999750955924	3.71900403404e-21	-8.73502726856e-22	3.44107134822e-21	0.999771006431	162.71311891	2.18382777123	2.47521227162	2.18153867663	5.51139220665e-05	-1.07898251563	2.47266733389	-1.0790041587	1.87975488531e-05	162.790929819	2.18258190277	2.47384978231	2.18258190847	5.50824797072e-05	-1.0783885859	2.47384978613	-1.07838858944	1.87872016761e-05	0.000799680170564	0.0	0.0	0.0	-0.000249075092625	0.0	0.0	0.0	-0.00022901979203	162.901854997	0.000692581873249
30	10.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.001	-3.73223892384e-21	1.08658445265e-20	1.31356281273e-21	0.999681539045	-3.0704944338e-21	2.11758236814e-22	5.82335151237e-22	0.999709150464	197.517317327	2.77903936935	2.84468377673	2.77537899005	0.00108243833633	-1.36198869696	2.84101545457	-1.36202634163	0.00132055288975	197.637721758	2.777070816	2.8427472388	2.77707083122	0.00108167158303	-1.36106151384	2.84274730702	-1.36106154007	0.00131965391434	0.000999500333083	0.0	0.0	0.0	-0.000318511674458	0.0	0.0	0.0	-0.000290891840929	197.770402081	0.000869614278475
36	12.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0012	-5.24101636114e-21	6.11451908799e-21	-2.84550130718e-21	0.999586159373	-3.81164826264e-21	-2.96461531539e-21	-8.36445035414e-21	0.999636484151	213.622895345	3.14028825511	2.7068175324	3.13522644416	-0.00016654027137	-1.94936757745	2.70259029969	-1.94946587051	0.000104969938563	213.789053488	3.13766501676	2.70469255617	3.13766505639	-0.000166401152031	-1.94783723426	2.70469240296	-1.94783738509	0.000104887532334	0.00119928057548	0.0	0.0	0.0	-0.000413926282665	0.0	0.0	0.0	-0.000363581936903	213.936055079	0.00105908872285
42	14.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0014	2.96461531539e-21	1.16467030247e-21	5.45277459795e-21	0.999478451422	8.73502726856e-22	2.21353531919e-21	-4.02340649946e-21	0.999556050856	219.459931189	3.32381591922	2.69345675702	3.31743797318	-0.000207856046364	-2.40558554751	2.68849712282	-2.40577225119	1.05352319569e-05	219.671973116	3.32064327925	2.69109472598	3.32064327784	-0.000207657644161	-2.40347596557	2.69109474557	-2.40347589983	1.05259930691e-05	0.00139902091371	0.0	0.0	0.0	-0.000521684631768	0.0	0.0	0.0	-0.000444047718598	219.836200737	0.00125539186145
48	16.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0016	1.45583787809e-21	1.47171974585e-20	-2.68006518467e-22	0.999368303526	7.09390093325e-21	3.19539870629e-21	4.23516473627e-22	0.999472465972	222.412330858	3.41582203801	2.69207235681	3.40821112876	-2.44862084948e-05	-2.79934357161	2.68635407922	-2.79963532178	-7.70740020949e-05	222.670382955	3.41216548669	2.68947085099	3.41216547799	-2.44599966263e-05	-2.79663840339	2.68947089968	-2.79663838279	-7.69995210117e-05	0.0015987213637	0.0	0.0	0.0	-0.000631896078281	0.0	0.0	0.0	-0.00052767322303	222.850205243	0.00145358335116
54	18.0	nan	nan	1	1	0.25	0.25	0.25	256.5	1.0018	-1.54054117282e-20	-1.42936809849e-21	-1.16599379145e-20	0.999257856838	1.5352472169e-21	8.23871890103e-21	6.35274710441e-22	0.999387309209	224.379023791	3.45272665665	2.67066337088	3.4439650647	3.07844460689e-05	-3.16052550634	2.66423146316	-3.16093500301	-8.14346573408e-05	224.683330231	3.44863586284	2.66784473694	3.4486358255	3.0747972628e-05	-3.157189869	2.66784473671	-3.15718992422	-8.13487107212e-05	0.00179838194138	0.0	0.0	0.0	-0.000742418686564	0.0	0.0	0.0	-0.000612878562704	224.876733459	0.00165238048438
